# Allocations	Memory	CPU Time	Min	Max
10000	2408448	0.050000	0.050000	0.050000
20000	2408448	0.050000	0.040000	0.050000
30000	2408448	0.050000	0.050000	0.050000
40000	2408448	0.050000	0.050000	0.050000
50000	2408448	0.050000	0.040000	0.050000
60000	2408448	0.050000	0.050000	0.050000
70000	2408448	0.050000	0.050000	0.050000
80000	2408448	0.050000	0.050000	0.050000
90000	2408448	0.050000	0.050000	0.050000
100000	2408448	0.050000	0.050000	0.050000
110000	2408448	0.050000	0.050000	0.050000
120000	2408448	0.050000	0.050000	0.050000
130000	2408448	0.050000	0.050000	0.060000
140000	2408448	0.050000	0.050000	0.050000
150000	2408448	0.050000	0.050000	0.060000
160000	2408448	0.050000	0.050000	0.050000
170000	2408448	0.050000	0.050000	0.050000
180000	2408448	0.050000	0.050000	0.050000
190000	2408448	0.050000	0.050000	0.050000
200000	2408448	0.050000	0.050000	0.050000
210000	2408448	0.050000	0.050000	0.050000
220000	2408448	0.050000	0.050000	0.060000
230000	2408448	0.050000	0.050000	0.050000
240000	2408448	0.050000	0.050000	0.050000
250000	2408448	0.050000	0.050000	0.050000
